feature,importance
V258,1543.0379638671875
V156,292.3692932128906
C12,131.3730926513672
V72,102.19522094726562
V172,98.94097900390625
C14,93.75544738769531
V90,84.59529113769531
V315,72.2152328491211
C1,54.405208587646484
V69,52.68730163574219
V201,50.528099060058594
V227,44.92826461791992
V138,43.97902297973633
C5,40.777198791503906
V187,40.362972259521484
V162,40.1665153503418
V113,38.68287658691406
D3_uid_mean,38.613250732421875
V35,37.93402099609375
V29,37.245418548583984
C8,35.82744216918945
V83,34.81735610961914
C13,33.8319206237793
V143,33.01874923706055
V189,31.705047607421875
V225,30.806100845336914
card3,30.457754135131836
V336,29.22836685180664
card6,28.822904586791992
V130,26.992698669433594
V39,26.20195198059082
C10,25.05216407775879
card3_FE,24.454463958740234
V335,24.23110008239746
V12,22.876583099365234
V67,21.60805892944336
V45,21.057714462280273
V198,20.97881317138672
V251,20.080303192138672
D2_uid_std,19.069860458374023
V320,18.778066635131836
V74,18.445436477661133
V140,18.29097557067871
V87,18.149972915649414
V48,17.731447219848633
D1_uid_std,17.675371170043945
C11,16.85634422302246
V281,16.690704345703125
addr2,15.829214096069336
V115,14.780501365661621
